"","ic","method","pval","null_l","tmt_l","unknown_param_or","other_mechanical_param_or","prescribed_fire_param_or","wildfire_param_or","thinning_param_or","herbicide_param_or","clearcut_param_or","unknown_param_fl","other_mechanical_param_fl","prescribed_fire_param_fl","wildfire_param_fl","thinning_param_fl","herbicide_param_fl","clearcut_param_fl","all_converge","valid_subset","failed_converge_names"
"11","4,0.5,0.8,9e-04","Nelder-Mead",1,-69478.2446614625,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
"12","4,0.5,0.8,9e-04","Nelder-Mead",1,-69473.8616758741,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
"13","2.06298813383416,0.996834375176346,0.620826880046437,0.0015131111126072","Nelder-Mead",1,-78590.3218936231,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
"14","2.06298813383416,0.996834375176346,0.620826880046437,0.0015131111126072","Nelder-Mead",1,-69478.2446614625,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
"15","2.06298813383416,0.996834375176346,0.620826880046437,0.0015131111126072","Nelder-Mead",1,-69473.8616758741,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
"16","1.416,0.984,0.444,0.101","Nelder-Mead",1,-78590.3218936231,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
"17","1.416,0.984,0.444,0.101","Nelder-Mead",1,-69478.2446614625,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
"18","1.416,0.984,0.444,0.101","Nelder-Mead",1,-69473.8616758741,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
"19","5e-04,0.5,1,1","Nelder-Mead",1,-78590.3218936231,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
"20","5e-04,0.5,1,1","Nelder-Mead",1,-69478.2446614625,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
"21","5e-04,0.5,1,1","Nelder-Mead",1,-69473.8616758741,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
"22","2.5,1,1,1","Nelder-Mead",1,-78590.3218936231,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
"23","2.5,1,1,1","Nelder-Mead",1,-69478.2446614625,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
"24","2.5,1,1,1","Nelder-Mead",1,-69473.8616758741,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
"25","4,0.94,0.7029,0.0546","Nelder-Mead",1,-78590.3218936231,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
