"clno","sizw","ids","dist_name","ratio"
"1",1,9,"1103 1101 1102","Unknown",0.645161290322581
"2",2,1,"1103","Unknown",0
"3",3,5,"1103 1102","Unknown",0.5
"4",4,41,"1101 1103 1102","Unknown",0.790123456790123
"5",5,4,"1101 1103 1102","Unknown",0.5
"6",6,7,"1103 1101 1102","Unknown",0.583333333333333
"7",7,19,"1103 1102 1101","Unknown",0.771428571428571
"8",8,22,"701 702 703","Unknown",0.790123456790123
"9",9,47,"701 702 703","Unknown",0.835164835164835
"10",10,15,"1102 1103 1101","Unknown",0.692307692307692
"11",11,2,"1101","Unknown",0.25
"12",12,1,"1101","Unknown",0
"13",13,1,"1101","Unknown",0
"14",14,268,"1101 1102 1103","Unknown",0.876865671641791
"15",15,69,"1103 1102 1101","Unknown",0.77536231884058
"16",16,38,"1101 1103 1102","Unknown",0.736842105263158
"17",17,47,"1101 1102 1103","Unknown",0.74468085106383
"18",18,442,"1103 1102 1101","Unknown",0.866515837104072
"19",19,57,"1102 1103 1101","Unknown",0.754385964912281
"20",20,1,"1101","Unknown",0
"21",21,365,"1101 1103 1102 703 701","Unknown",0.893150684931507
"22",22,112,"1102 1101 1103","Unknown",0.830357142857143
"23",23,270,"1101 1103 1102","Unknown",0.861111111111111
"24",24,188,"1101 1102 1103","Unknown",0.875
"25",25,1,"1101","Unknown",0
"26",26,287,"1101 1103 1102","Unknown",0.886759581881533
"27",27,62,"1101 1103 1102","Unknown",0.798387096774194
"28",28,218,"1102 1101 1103","Unknown",0.837155963302752
"29",29,445,"1101 1103 1102","Unknown",0.860674157303371
"30",30,93,"1101 1103 1102","Unknown",0.849462365591398
"31",31,1,"1101","Unknown",0
"32",32,67,"1101 1103 1102","Unknown",0.791044776119403
"33",33,2,"1102 1101","Unknown",0.25
"34",34,3,"1101 1102","Unknown",0.333333333333333
"35",35,1,"1101","Unknown",0
"36",36,2,"1103","Unknown",0.25
"37",37,1,"1101","Unknown",0
"38",38,246,"1101 1102 1103","Unknown",0.880081300813008
"39",39,11,"1103 1101 1102","Unknown",0.5
"40",40,266,"1103 1101 1102","Unknown",0.887218045112782
"41",41,18,"1102 1103","Unknown",0.638888888888889
"42",42,8,"1103 1101","Unknown",0.5625
"43",43,98,"703 702 701","Unknown",0.811224489795918
"44",44,31,"1101 1103 1102 701 702","Unknown",0.725806451612903
"45",45,2,"1102","Unknown",0.25
"46",46,154,"702 703 701","Unknown",0.756493506493506
"47",47,211,"1103 1101 1102","Unknown",0.836492890995261
"48",48,4,"1102 1103 1101","Unknown",0.375
"49",49,1,"1103","Unknown",0
"50",50,73,"1101 1103 1102","Unknown",0.828767123287671
"51",51,108,"1101 1102 1103","Unknown",0.833333333333333
"52",52,1,"1102","Unknown",0
